scorer,DLC_resnet50_RobertTestOct3shuffle1_1030000,DLC_resnet50_RobertTestOct3shuffle1_1030000,DLC_resnet50_RobertTestOct3shuffle1_1030000,DLC_resnet50_RobertTestOct3shuffle1_1030000,DLC_resnet50_RobertTestOct3shuffle1_1030000,DLC_resnet50_RobertTestOct3shuffle1_1030000,DLC_resnet50_RobertTestOct3shuffle1_1030000,DLC_resnet50_RobertTestOct3shuffle1_1030000,DLC_resnet50_RobertTestOct3shuffle1_1030000,DLC_resnet50_RobertTestOct3shuffle1_1030000,DLC_resnet50_RobertTestOct3shuffle1_1030000,DLC_resnet50_RobertTestOct3shuffle1_1030000,DLC_resnet50_RobertTestOct3shuffle1_1030000,DLC_resnet50_RobertTestOct3shuffle1_1030000,DLC_resnet50_RobertTestOct3shuffle1_1030000
bodyparts,nose,nose,nose,leftear,leftear,leftear,rightear,rightear,rightear,tailbase,tailbase,tailbase,tailend,tailend,tailend
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
36,97.59374237060547,85.42830657958984,1.0,108.09345245361328,99.6743392944336,1.0,113.64952087402344,76.76443481445312,1.0,203.33786010742188,125.7474136352539,0.9999998807907104,313.1969909667969,191.5575714111328,0.9999997615814209
37,97.01403045654297,86.01522827148438,1.0,108.25010681152344,99.34233856201172,1.0,113.41917419433594,76.31106567382812,1.0,204.4864044189453,123.65042114257812,0.9999998807907104,317.72113037109375,188.01153564453125,0.9999982118606567
38,97.07677459716797,85.98452758789062,1.0,108.5660629272461,98.94229125976562,1.0,113.4862289428711,76.02906799316406,1.0,206.02700805664062,122.38671875,0.9999997615814209,319.26470947265625,183.40077209472656,0.9999997615814209
39,96.17241668701172,86.4775619506836,1.0,108.32152557373047,98.86223602294922,1.0,113.03334045410156,75.84654235839844,1.0,207.01580810546875,119.5543441772461,1.0,322.3595275878906,179.8751678466797,1.0
40,96.34988403320312,86.26661682128906,1.0,108.32241821289062,98.26930236816406,1.0,112.85163116455078,75.68716430664062,1.0,208.54788208007812,116.81631469726562,1.0,324.40771484375,175.20950317382812,1.0
41,97.27222442626953,85.47310638427734,1.0,108.99073791503906,97.71920776367188,0.9999998807907104,113.35568237304688,75.33326721191406,1.0,210.21083068847656,114.02397155761719,1.0,327.7064514160156,168.6854705810547,0.9999999403953552
42,99.05154418945312,84.03572082519531,1.0,109.8450698852539,97.98954772949219,0.9999998807907104,114.44527435302734,75.49874877929688,1.0,210.72845458984375,111.13379669189453,1.0,330.7685546875,163.60726928710938,1.0
43,101.64472198486328,78.34033966064453,0.9999992847442627,109.46519470214844,97.22689819335938,0.9999984502792358,117.1598129272461,74.8466796875,1.0,212.5426788330078,107.1588134765625,1.0,332.2809753417969,155.1590576171875,0.9999984502792358
44,104.79385375976562,72.87044525146484,0.9999988079071045,110.95777893066406,93.38737487792969,0.9999884963035583,119.20789337158203,73.02230834960938,0.9999998807907104,213.39768981933594,103.92333221435547,1.0,335.0984802246094,146.246337890625,0.9999998807907104
45,107.7213134765625,69.42066955566406,0.9999999403953552,109.76655578613281,89.37622833251953,0.9999513626098633,121.2593002319336,70.12442016601562,0.9999998807907104,213.55673217773438,101.84359741210938,1.0,338.0505676269531,135.3247528076172,1.0
46,109.60900115966797,67.50381469726562,0.9999999403953552,112.74917602539062,86.38911437988281,0.9999976754188538,123.10526275634766,67.43195343017578,1.0,213.5424041748047,100.34706115722656,1.0,339.9847412109375,126.69229888916016,1.0
47,112.06607818603516,65.98182678222656,0.9999991655349731,114.75972747802734,83.5555191040039,0.9999997615814209,125.47502899169922,65.38963317871094,0.9999998807907104,214.04388427734375,101.16259765625,1.0,341.56768798828125,121.67924499511719,1.0
48,113.81754302978516,65.29362487792969,0.9999989867210388,116.76693725585938,81.65084075927734,0.9999998211860657,126.94845581054688,64.69279479980469,0.9999998807907104,214.779541015625,102.4216537475586,1.0,342.59368896484375,119.27860260009766,1.0
49,116.1738052368164,62.96529769897461,0.9999994039535522,118.5931167602539,80.656982421875,0.9999995231628418,129.29249572753906,63.475257873535156,1.0,215.13217163085938,104.93196105957031,1.0,342.44683837890625,122.43145751953125,0.9999998807907104
50,118.11876678466797,61.871253967285156,0.9999998807907104,120.42170715332031,80.60758209228516,0.999997079372406,131.7064971923828,64.16059875488281,1.0,215.96237182617188,106.65596771240234,1.0,341.7437438964844,128.6484375,1.0
51,119.678955078125,61.855796813964844,0.9999998211860657,122.48210906982422,81.06976318359375,0.9999994039535522,133.43382263183594,63.63959884643555,1.0,218.4429168701172,108.9621810913086,0.9999998807907104,342.73040771484375,135.37908935546875,0.9999999403953552
52,120.23995971679688,61.282470703125,1.0,123.49628448486328,81.12628936767578,0.9999997615814209,134.4665985107422,64.36331176757812,1.0,220.1128692626953,111.95870208740234,1.0,343.5340576171875,141.2607421875,0.9999999403953552
53,122.48928833007812,60.754417419433594,0.9999998807907104,125.18358612060547,80.87664794921875,0.9999998211860657,137.13038635253906,64.70845031738281,1.0,222.39096069335938,114.84698486328125,1.0,343.1127624511719,147.31825256347656,1.0
54,125.22975158691406,60.14851760864258,1.0,129.11354064941406,81.62789154052734,1.0,141.0071563720703,65.77792358398438,1.0,224.44259643554688,117.38983917236328,1.0,343.7731018066406,148.6652374267578,1.0
55,131.57470703125,59.686527252197266,1.0,132.4966583251953,80.70780944824219,1.0,146.1572265625,66.71937561035156,1.0,226.1011962890625,119.6163330078125,1.0,345.0643615722656,151.12237548828125,0.9999998807907104
56,139.32972717285156,60.37900924682617,1.0,135.05393981933594,80.94697570800781,0.999999463558197,152.31192016601562,67.63623046875,1.0,229.03695678710938,122.3143539428711,1.0,346.7501525878906,152.58645629882812,0.9999998807907104
57,146.49891662597656,59.76405334472656,1.0,141.49502563476562,79.68392944335938,0.9999592304229736,160.7662353515625,68.12551879882812,1.0,231.15049743652344,123.80332946777344,1.0,350.20263671875,151.6199951171875,1.0
58,156.46658325195312,57.25505065917969,1.0,147.36439514160156,77.3415756225586,0.999998927116394,168.6208953857422,68.4976806640625,1.0,234.84713745117188,125.22940826416016,0.9999998807907104,353.12860107421875,152.33482360839844,1.0
59,164.60214233398438,57.94588088989258,0.9999999403953552,153.2611083984375,75.13581848144531,0.9999575614929199,176.28091430664062,67.5340576171875,1.0,237.43359375,126.28019714355469,0.9999999403953552,356.5579833984375,153.0333709716797,1.0
60,171.0763702392578,56.0092887878418,0.9999998807907104,159.68431091308594,73.72978973388672,0.9999861121177673,182.0041046142578,67.0820541381836,1.0,241.01412963867188,127.88124084472656,1.0,358.8674621582031,153.1116180419922,1.0
61,177.9255828857422,55.734928131103516,0.9999998807907104,166.01812744140625,73.27692413330078,0.9999935626983643,187.4510040283203,66.59477233886719,1.0,244.01417541503906,129.56893920898438,1.0,362.1799621582031,152.9630889892578,0.9999996423721313
62,184.03810119628906,55.30805206298828,0.9999999403953552,172.22911071777344,71.4175796508789,0.9999683499336243,193.265869140625,65.80294799804688,1.0,247.13833618164062,129.55616760253906,1.0,364.71173095703125,153.20419311523438,0.9999997019767761
63,187.61898803710938,55.08114242553711,0.9999998807907104,176.92025756835938,72.96014404296875,0.9999035000801086,197.8504180908203,65.6698989868164,1.0,250.21278381347656,128.96043395996094,1.0,369.0387268066406,153.77439880371094,0.9999999403953552
64,193.3701171875,54.899658203125,0.9999999403953552,181.90032958984375,72.0502700805664,0.9999749064445496,201.92214965820312,65.19776153564453,1.0,253.32369995117188,129.36265563964844,1.0,371.3944396972656,154.19564819335938,1.0
65,196.72532653808594,55.01124572753906,0.9999998807907104,185.44956970214844,72.01802062988281,0.9998589754104614,206.95175170898438,64.53424072265625,1.0,257.1910095214844,129.98329162597656,1.0,374.05181884765625,154.2360382080078,1.0
66,202.72068786621094,51.91336441040039,1.0,188.9176788330078,69.87960815429688,0.9999910593032837,209.63243103027344,65.50688171386719,1.0,260.51068115234375,130.37832641601562,1.0,376.7187194824219,154.59127807617188,0.9999994039535522
67,205.5081787109375,52.11228942871094,1.0,191.96664428710938,70.8274917602539,0.999991774559021,213.60833740234375,65.9800796508789,1.0,263.6166687011719,130.5456085205078,1.0,379.9541931152344,155.5797119140625,0.9999990463256836
68,208.6197509765625,53.70738983154297,1.0,194.44491577148438,71.4892349243164,0.9999867677688599,215.53932189941406,65.31610107421875,1.0,266.5781555175781,130.20399475097656,1.0,383.736083984375,155.8846435546875,0.9999998807907104
69,208.683349609375,54.77872085571289,0.9999998807907104,196.72540283203125,72.69969177246094,0.9999868869781494,217.4774627685547,65.78897094726562,1.0,269.15106201171875,130.35693359375,1.0,386.3254089355469,155.9427947998047,1.0
70,211.11126708984375,54.87453842163086,0.9999999403953552,199.41201782226562,72.0605239868164,0.9999761581420898,219.50990295410156,65.79232788085938,1.0,272.5946350097656,129.68858337402344,1.0,388.7560729980469,155.83499145507812,1.0
71,213.44166564941406,54.278724670410156,0.9999998807907104,202.0346221923828,71.12862396240234,0.9997712969779968,223.40724182128906,63.68243408203125,1.0,275.0140075683594,130.02552795410156,1.0,391.91986083984375,155.75289916992188,0.9999997615814209
72,216.53297424316406,53.493202209472656,0.9999999403953552,205.90213012695312,69.09396362304688,0.9999662637710571,223.77049255371094,64.54287719726562,1.0,277.5092468261719,129.9464111328125,1.0,393.6906433105469,156.25050354003906,0.999998927116394
73,219.01870727539062,53.95365905761719,0.9999998807907104,209.0616455078125,71.05469512939453,0.9999549388885498,227.52760314941406,63.75047302246094,1.0,280.56524658203125,129.55780029296875,1.0,396.76947021484375,156.24769592285156,0.9999990463256836
74,224.1302490234375,54.10696792602539,0.9999998211860657,212.92909240722656,71.21961212158203,0.9998950362205505,231.800537109375,63.34852600097656,1.0,283.7138977050781,129.79457092285156,1.0,400.0957336425781,156.3336181640625,1.0
75,228.8135223388672,53.88154220581055,0.9999997615814209,216.90538024902344,69.58777618408203,0.9982562065124512,237.309326171875,64.21627807617188,0.9999998807907104,285.94378662109375,129.95401000976562,1.0,402.85406494140625,156.5762939453125,1.0
76,237.48277282714844,52.3360710144043,0.9999991655349731,222.35008239746094,66.63361358642578,0.9984515905380249,241.90101623535156,63.21722412109375,1.0,289.0836181640625,129.7493133544922,1.0,405.2870178222656,156.31163024902344,1.0
77,242.13255310058594,53.32190704345703,0.9999994039535522,229.16233825683594,69.01234436035156,0.9957691431045532,246.2876434326172,62.99277877807617,0.9999998807907104,291.2434387207031,130.3619842529297,1.0,407.5502014160156,156.1682891845703,0.9999998807907104
78,248.46324157714844,52.057857513427734,0.9999846816062927,234.91400146484375,66.12471771240234,0.5527763962745667,252.38369750976562,62.54204559326172,0.9999980926513672,293.869384765625,131.55592346191406,1.0,409.4036865234375,156.1308135986328,0.9999989867210388
79,257.1770935058594,52.622406005859375,0.9999990463256836,245.6166534423828,64.52983856201172,0.7574405074119568,259.189697265625,64.40873718261719,0.9999994039535522,296.52435302734375,133.73550415039062,1.0,412.1924133300781,156.490478515625,0.9999991655349731
80,261.18145751953125,52.11381149291992,0.999976634979248,245.96800231933594,66.89838409423828,0.31908372044563293,267.61029052734375,66.170166015625,0.9999499320983887,298.3235168457031,135.95468139648438,1.0,413.103759765625,156.71511840820312,0.9999992251396179
81,266.138427734375,51.280677795410156,0.5607582926750183,260.0598449707031,56.38606643676758,0.28540799021720886,270.25433349609375,62.43397521972656,0.996299147605896,300.46881103515625,139.1567840576172,0.9999998807907104,414.93743896484375,157.11868286132812,0.9999998807907104
82,278.3412780761719,52.01842498779297,0.6150771379470825,266.34930419921875,53.94297409057617,0.3151388466358185,274.7186584472656,60.77002716064453,0.8886525630950928,303.1061706542969,140.00186157226562,1.0,417.32977294921875,157.49063110351562,1.0
83,286.28009033203125,51.82442092895508,0.9671121835708618,276.1169738769531,54.954891204833984,0.9700304269790649,284.97039794921875,62.4957160949707,0.9979664087295532,305.78656005859375,141.58082580566406,1.0,419.5386047363281,157.87225341796875,1.0
84,296.5190734863281,51.472869873046875,0.9174067974090576,281.4674072265625,52.880496978759766,0.962203323841095,288.6683349609375,62.68449401855469,0.9691811800003052,308.87646484375,142.7594757080078,1.0,421.5386657714844,157.74932861328125,1.0
85,301.5861511230469,49.96882629394531,0.09151417016983032,292.9280700683594,50.71072006225586,0.5206744074821472,299.6120910644531,61.66876220703125,0.3698294758796692,309.8597717285156,142.8252716064453,1.0,422.8204040527344,158.4944610595703,0.9999998807907104
86,306.9377136230469,51.276668548583984,0.21746665239334106,295.753173828125,51.90619659423828,0.9651999473571777,302.3564147949219,63.84360885620117,0.9095231890678406,311.3431396484375,143.24639892578125,1.0,423.861083984375,161.23080444335938,0.9999998807907104
